town_code;town_name;state_code;district_code;sub_district_code
800001;Kupwara (MC);1;1;1
800002;Handwara (MC);1;1;2
800016;Magam (MC);1;2;5
800017;Beerwah (MC);1;2;5
800018;Khansahib (MC);1;2;6
800019;Badgam (MC);1;2;7
800020;Chadura (MC);1;2;8
800013;Srinagar (M Corp. + OG) (Part);1;2;8
800021;Charar-i-Sharief (MC);1;2;9
800047;Leh Ladakh (MC);1;3;10
800048;Kargil (MC);1;4;13
800062;Punch (M Cl);1;5;16
800063;Surankote (MC);1;5;19
800064;Thanamandi (MC);1;6;20
800065;Rajauri (MC);1;6;22
800066;Nowshehra (MC);1;6;25
800067;Sunderbani (MC);1;6;26
800081;Billawar (MC);1;7;27
800082;Bashohli (MC);1;7;28
800083;Lakhanpur (MC);1;7;30
800084;Kathua (M Cl + OG);1;7;30
800084;Kathua (M Cl);1;7;30
800085;Parole (MC);1;7;30
800086;Hiranagar (MC);1;7;31
800003;Sopore (M Cl + OG);1;8;32
800003;Sopore (M Cl);1;8;32
800004;Watra Gam (MC);1;8;33
800005;Pattan (MC);1;8;34
800006;Baramula (M Cl + OG);1;8;35
800006;Baramula (M Cl);1;8;35
800007;Uri (MC);1;8;37
800008;Kunzer (MC);1;8;39
800009;Gulmarg (MC);1;8;39
800010;Bandipore (MC);1;9;41
800011;Hajan (MC);1;9;42
800012;Sumbal (MC);1;9;42
800013;Srinagar (M Corp. + OG) (Part);1;10;43
800014;Badami Bagh (CB);1;10;43
800013;Srinagar (M Corp. + OG) (Part);1;10;44
800015;Ganderbal (MC);1;11;47
800022;Pampora (MC);1;12;48
800023;Khrew (MC);1;12;48
800024;Awantipora (MC);1;12;49
800025;Tral (MC);1;12;50
800026;Pulwama (MC);1;12;51
800027;Shupiyan (MC);1;13;52
800028;Pahalgam (MC);1;14;53
800029;Aishmuquam (MC);1;14;53
800030;Bijbehara (MC);1;14;54
800031;Arwani (MC);1;14;54
800032;Mattan (MC);1;14;55
800033;Anantnag (M Cl + OG) (Part);1;14;55
800034;Achhabal (MC);1;14;55
800035;Seer Hamdan (MC);1;14;55
800036;Shangus (MC);1;14;56
800037;Koker Nag (MC);1;14;57
800038;Qazi Gund (MC);1;14;58
800039;Duru Verinag (MC);1;14;58
800033;Anantnag (M Cl + OG) (Part);1;15;59
800040;Kulgam (MC);1;15;59
800041;Quimoh (MC);1;15;59
800042;Frisal (MC);1;15;59
800043;Yari Pora (MC);1;15;59
800044;Ashmuji Khalsa (MC);1;15;59
800045;Mehmood Pora (MC);1;15;59
800046;Devsar (MC);1;15;60
800049;Doda (MC);1;16;62
800050;Bhaderwah (MC);1;16;65
800051;Banihal (MC);1;17;66
800052;Ramban (MC);1;17;67
800053;Batote (MC);1;17;67
800054;Kishtwar (MC);1;18;68
800055;Udhampur (M Cl + OG);1;19;72
800055;Udhampur (M Cl);1;19;72
800056;Kud (MC);1;19;73
800057;Chenani (MC);1;19;73
800058;Ram Nagar (MC);1;19;74
800059;Reasi (MC);1;20;77
800060;Purana Daroorh (MC);1;20;77
800061;Katra (MC);1;20;77
800068;Jourian (MC);1;21;78
800069;Akhnoor (MC);1;21;78
800070;Khore (MC);1;21;78
800071;Jammu (M Corp. + OG);1;21;79
800071;Jammu (M Corp.);1;21;79
800072;Jammu Cantt. (CB);1;21;79
800073;Ghomanhasan (MC);1;21;79
0;Ranbir Singh Pora;1;21;80
800074;R.S. Pora (MC);1;21;80
800075;Bishna (MC);1;21;81
800076;Arnia (MC);1;21;81
800077;Bari Brahamana (MC);1;22;82
800078;Vijay Pur (MC);1;22;82
800079;Samba (MC);1;22;82
800080;Ramgarh (MC);1;22;82
800087;Dalhousie (CB);2;23;87
800088;Dalhousie (M Cl);2;23;87
800089;Bakloh (CB);2;23;88
800090;Chuari Khas (NP);2;23;88
800091;Chamba (M Cl);2;23;90
800092;Nurpur (M Cl);2;24;93
800093;Dharmsala (M Cl + OG);2;24;99
800093;Dharmsala (M Cl);2;24;99
800094;Yol (CB);2;24;99
800095;Kangra (M Cl);2;24;100
800096;Nagrota Bagwan (M Cl);2;24;101
800097;Dera Gopipur (NP);2;24;103
800098;Jawalamukhi (NP);2;24;104
800099;Palampur (M Cl);2;24;111
800100;Manali (M Cl);2;26;117
800101;Kullu (M Cl);2;26;118
800102;Bhuntar (NP);2;26;118
800103;Banjar (NP);2;26;120
800104;Jogindarnagar (NP);2;27;124
800105;Sarkaghat (NP);2;27;129
800106;Sundarnagar (M Cl);2;27;132
800107;Mandi (M Cl);2;27;133
800108;Rawalsar (NP);2;27;133
800109;Tira Sujanpur (NP);2;28;140
800110;Nadaun (NP);2;28;141
800111;Hamirpur (M Cl);2;28;143
800112;Bhota (NP);2;28;144
800113;Daulatpur (NP);2;29;148
800114;Gagret (NP);2;29;148
800115;Una (M Cl);2;29;150
800116;Mehatpur Basdehra (NP);2;29;150
800117;Santokhgarh (NP);2;29;150
800118;Ghumarwin (M Cl);2;30;152
800119;Talai (NP);2;30;154
800120;Naina Devi (M Cl);2;30;155
800121;Bilaspur (M Cl);2;30;156
800122;Arki (NP);2;31;158
800123;Nalagarh (M Cl);2;31;161
800124;Baddi (M Cl + OG);2;31;162
800124;Baddi (M Cl);2;31;162
800125;Kasauli (CB);2;31;164
800126;Parwanoo (M Cl);2;31;164
800127;Dagshai (CB);2;31;165
800128;Solan (M Cl);2;31;165
800129;Sabathu (CB);2;31;165
800130;Rajgarh (NP);2;32;167
800131;Nahan (M Cl);2;32;172
800132;Paonta Sahib (M Cl);2;32;173
800133;Rampur (M Cl);2;33;177
800134;Narkanda (NP);2;33;179
800135;Seoni (NP);2;33;180
800136;Jutogh (CB);2;33;181
800137;Shimla (M Corp.);2;33;182
800138;Theog (M Cl);2;33;184
800139;Chaupal (NP) ;2;33;185
800140;Jubbal (NP);2;33;188
800141;Kotkhai (NP);2;33;189
800142;Rohru (M Cl);2;33;191
800275;Cheema (NP);3;53;272
800276;Sunam Udham Singh Wala (M Cl + OG);3;53;272
800276;Sunam Udham Singh Wala (M Cl);3;53;272
800277;Dirba (NP);3;53;272
800278;Lehragaga (M Cl);3;53;273
800279;Moonak (NP);3;53;274
800280;Khanauri (NP);3;53;274
800281;Barnala (M Cl);3;54;275
800282;Handiaya (NP);3;54;275
800283;Dhanaula (M Cl);3;54;275
800284;Tapa (M Cl);3;54;276
800285;Bhadaur (M Cl);3;54;276
800286;Chandigarh (M Corp. + OG) ;4;55;277
800286;Chandigarh (M Corp.) ;4;55;277
800348;Gadarpur (NPP);5;67;350
800349;Dineshpur (NP);5;67;350
800350;Shaktigarh (NP);5;67;351
800351;Sitarganj (NPP);5;67;351
800352;Khatima (NPP);5;67;352
800353;Roorkee (NPP);5;68;353
800354;Roorkee (CB);5;68;353
800355;Jhabrera (NP);5;68;353
800356;Manglaur (NPP);5;68;353
800357;Landhaura (NP);5;68;353
800358;Bharat Heavy Electricals Limited Ranipur (ITS);5;68;354
800359;Hardwar (NPP + OG);5;68;354
800359;Hardwar (NPP);5;68;354
800360;Laksar (NP);5;68;355
800361;Kalka (MC + OG);6;69;356
800361;Kalka (MC);6;69;356
800362;Pinjore (MC);6;69;356
800363;Panchkula (M Cl);6;69;357
800364;Naraingarh (MC);6;70;358
800365;Ambala (M Cl);6;70;359
800366;Ambala Cantt. (CB);6;70;359
800367;Ambala Sadar (M Cl + OG);6;70;359
800367;Ambala Sadar (M Cl);6;70;359
800368;Jagadhri (M Cl);6;71;361
800369;Yamunanagar (M Cl + OG);6;71;361
800369;Yamunanagar (M Cl);6;71;361
800370;Shahbad (MC);6;72;364
800371;Pehowa (MC);6;72;365
800372;Thanesar (M Cl);6;72;366
800373;Ladwa (MC);6;72;366
800374;Cheeka (MC);6;73;367
800375;Kaithal (M Cl);6;73;368
800376;Kalayat (MC);6;73;368
800377;Pundri (MC + OG);6;73;369
800377;Pundri (MC);6;73;369
800378;Nilokheri (MC);6;74;370
800379;Taraori (MC);6;74;370
800380;Indri (MC);6;74;371
800381;Karnal (M Cl + OG);6;74;372
800381;Karnal (M Cl);6;74;372
800382;Nissing (MC);6;74;372
800383;Assandh (MC);6;74;373
800384;Gharaunda (MC);6;74;374
800385;Panipat (M Cl + OG);6;75;375
800385;Panipat (M Cl);6;75;375
800386;Samalkha (MC + OG);6;75;377
800386;Samalkha (MC);6;75;377
800387;Gohana (MC);6;76;378
800388;Ganaur (MC);6;76;379
800389;Sonipat (M Cl + OG);6;76;380
800389;Sonipat (M Cl);6;76;380
800390;Kharkhoda (MC);6;76;381
800391;Narwana (M Cl);6;77;382
800392;Uchana (MC);6;77;382
800393;Jind (M Cl);6;77;383
800394;Julana (MC);6;77;384
800395;Safidon (MC);6;77;385
800396;Ratia (MC);6;78;386
800397;Tohana (M Cl);6;78;387
800398;Fatehabad (M Cl);6;78;388
800399;Mandi Dabwali (MC);6;79;389
800400;Kalanwali (MC);6;79;390
800401;Sirsa (M Cl);6;79;390
800402;Rania (MC);6;79;391
800403;Ellenabad (MC);6;79;392
800404;Barwala (MC);6;80;394
800405;Hisar (M Cl + OG);6;80;394
800405;Hisar (M Cl);6;80;394
800406;Narnaund (MC);6;80;395
800407;Hansi (M Cl);6;80;396
800408;Bawani khera (MC);6;81;397
800409;Bhiwani (M Cl);6;81;398
800410;Siwani (MC);6;81;400
800411;Loharu (MC);6;81;401
800412;Charkhi Dadri (MC);6;81;402
800413;Maham (MC);6;82;404
800414;Rohtak (M Cl);6;82;405
800415;Kalanaur (MC);6;82;405
800416;Sampla (MC);6;82;406
800417;Beri (MC);6;83;407
800418;Bahadurgarh (M Cl);6;83;408
800419;Jhajjar (MC);6;83;409
800420;Kanina (MC);6;84;411
800421;Mahendragarh (MC);6;84;411
800422;Ateli (MC);6;84;412
800423;Narnaul (M Cl);6;84;412
800424;Dharuhera (MC);6;85;414
800425;Rewari (M Cl);6;85;414
800426;Bawal (MC);6;85;415
800427;Hailey Mandi (MC);6;86;416
800428;Pataudi (MC);6;86;416
800429;Gurgaon (M Corp. + OG);6;86;417
800429;Gurgaon (M Corp.);6;86;417
800430;Farrukhnagar (MC);6;86;418
800431;Sohna (MC);6;86;420
800432;Taoru (MC);6;87;421
800433;Nuh (MC);6;87;422
800434;Ferozepur jhirka (MC);6;87;423
800435;Punahana (MC);6;87;424
800436;Faridabad (M Corp.);6;88;425
800437;Palwal (M Cl + OG);6;89;427
800437;Palwal (M Cl);6;89;427
800438;Hathin (MC);6;89;428
800439;Hassan Pur (MC);6;89;429
800440;Hodal (MC);6;89;429
800441;DMC (U) (Part);7;90;430
800441;DMC (U) (Part);7;90;431
800441;DMC (U) (Part);7;90;432
800441;DMC (U) (Part);7;91;433
800441;DMC (U) (Part);7;91;434
800441;DMC (U) (Part);7;91;435
800441;DMC (U) (Part);7;92;436
800441;DMC (U) (Part);7;92;437
800441;DMC (U) (Part);7;92;438
800441;DMC (U) (Part);7;93;439
800441;DMC (U) (Part);7;93;440
800441;DMC (U) (Part);7;93;441
800441;DMC (U) (Part);7;94;442
800442;NDMC (Part);7;94;442
800442;NDMC (Part);7;94;443
800442;NDMC (Part);7;94;444
800441;DMC (U) (Part);7;95;445
800441;DMC (U) (Part);7;95;446
800442;NDMC (Part);7;95;446
800441;DMC (U) (Part);7;95;447
800441;DMC (U) (Part);7;96;448
800441;DMC (U) (Part);7;96;449
800441;DMC (U) (Part);7;96;450
800441;DMC (U) (Part);7;97;451
800441;DMC (U) (Part);7;97;452
800443;Delhi Cantonment (CB) (Part);7;97;452
800441;DMC (U) (Part);7;97;453
800443;Delhi Cantonment (CB) (Part);7;97;453
800442;NDMC (Part);7;97;453
800441;DMC (U) (Part);7;98;454
800442;NDMC (Part);7;98;454
800441;DMC (U) (Part);7;98;455
800442;NDMC (Part);7;98;455
800441;DMC (U) (Part);7;98;456
800444;Kesrisinghpur (M);8;99;457
800445;Karanpur (M);8;99;457
800446;Ganganagar (M Cl + OG);8;99;458
800446;Ganganagar (M Cl);8;99;458
800447;Sadulshahar (M);8;99;459
800448;Gajsinghpur (M);8;99;460
800449;Padampur (M);8;99;460
800450;Raisinghnagar (M);8;99;461
800451;Anupgarh (M);8;99;462
800452;Vijainagar (M);8;99;464
800453;Suratgarh (M);8;99;465
800454;Sangaria (M);8;100;466
800455;Hanumangarh (M Cl);8;100;468
800456;Pilibanga (M);8;100;469
800457;Rawatsar (M);8;100;470
800458;Nohar (M);8;100;471
800459;Bhadra (M);8;100;472
800460;Bikaner (M Corp.);8;101;473
800461;Deshnoke (M);8;101;473
800462;Nokha (M);8;101;477
800463;Dungargarh (M);8;101;480
800464;Taranagar (M);8;102;481
800465;Rajgarh (M);8;102;482
800466;Sardarshahar (M);8;102;483
800467;Ratannagar (M);8;102;484
800468;Churu (M Cl + OG);8;102;484
800468;Churu (M Cl);8;102;484
800469;Ratangarh (M);8;102;485
800470;Rajaldesar (M);8;102;485
800471;Bidasar (M);8;102;486
800472;Chhapar (M);8;102;486
800473;Sujangarh (M);8;102;486
800474;Bissau (M);8;103;487
800475;Mandawa (M);8;103;487
800476;Jhunjhunun (M Cl);8;103;487
800477;Baggar (M);8;103;487
800478;Pilani (M) ;8;103;488
800479;Vidyavihar (M);8;103;488
800480;Surajgarh (M);8;103;488
800481;Chirawa (M);8;103;488
800482;Khetri (M);8;103;490
800483;Mukandgarh (M);8;103;491
800484;Nawalgarh (M);8;103;491
800485;Udaipurwati (M);8;103;492
800486;Behror (M);8;104;493
800487;Bhiwadi (M);8;104;496
800488;Tijara (M);8;104;496
800489;Khairthal (M);8;104;497
800490;Alwar (M Cl + OG);8;104;499
800490;Alwar (M Cl);8;104;499
800491;Rajgarh (M);8;104;502
800492;Kherli (M);8;104;504
800493;Kaman (M);8;105;506
800494;Nagar (M);8;105;507
800495;Deeg (M);8;105;508
800496;Nadbai (M);8;105;509
800497;Kumher (M);8;105;510
800498;Bharatpur (M Cl + OG)  ;8;105;511
800498;Bharatpur (M Cl) ;8;105;511
800499;Bhusawar (M);8;105;512
800500;Weir (M);8;105;512
800501;Bayana (M);8;105;513
800502;Bari (M);8;106;516
800503;Dhaulpur (M + OG);8;106;518
800503;Dhaulpur (M);8;106;518
800504;Rajakhera (M);8;106;519
800505;Todabhim (M);8;107;520
800506;Hindaun (M);8;107;522
800507;Karauli (M);8;107;523
800508;Gangapur City (M);8;108;526
800509;Sawai Madhopur (M);8;108;531
800510;Bandikui (M);8;109;533
800511;Dausa (M);8;109;536
800512;Lalsot (M);8;109;537
800513;Kotputli (M);8;110;538
800514;Viratnagar (M);8;110;539
800515;Shahpura (M);8;110;540
800516;Chomu (M);8;110;541
800517;Kishangarh Renwal (M);8;110;542
800518;Sambhar (M);8;110;542
800519;Phulera (M + OG);8;110;542
800519;Phulera (M);8;110;542
800520;Jobner (M);8;110;542
800521;Bagru (M);8;110;545
800522;Jaipur (M Corp.) (Part);8;110;545
800522;Jaipur (M Corp.) (Part);8;110;546
800522;Jaipur (M Corp.) (Part);8;110;547
800523;Chaksu (M);8;110;550
800524;Ramgarh (M);8;111;551
800525;Fatehpur (M);8;111;551
800526;Lachhmangarh (M);8;111;552
800527;Sikar (M Cl + OG);8;111;553
800527;Sikar (M Cl);8;111;553
800528;Losal (M);8;111;554
800529;Khandela (M + OG);8;111;555
800529;Khandela (M);8;111;555
800530;Sri Madhopur (M);8;111;555
800531;Reengus (M);8;111;555
800532;Neem-Ka-Thana (M);8;111;556
800533;Ladnu (M);8;112;557
800534;Didwana (M + OG);8;112;558
800534;Didwana (M);8;112;558
800535;Nagaur (M + OG);8;112;560
800535;Nagaur (M);8;112;560
800536;Mundwa (M);8;112;560
800537;Kuchera (M);8;112;560
800538;Merta City (M);8;112;562
800539;Parbatsar (M);8;112;564
